73,16,26,48,23,53,33,41,15,58,42,48,37,32,49,46,9,12,4,49,10,3,8,25,24,11,6,4,14,11,35,23,21,10,27,19,17,4,34,5,15,25,18,35,28,24,17,24,43,37,34,14,31,21,30,31,28,9,15,2,4,10,6,6,7,6,13,5,10,17,10,13,15
16,73,44,22,39,10,41,28,60,10,26,12,37,40,19,26,22,7,11,13,26,10,5,30,33,25,10,13,6,5,4,28,41,19,41,19,60,6,38,3,63,4,50,38,33,46,54,44,33,35,39,50,44,52,40,40,33,16,26,7,15,5,4,2,5,4,8,8,2,7,5,20,11
26,44,73,39,57,17,44,41,42,23,39,15,44,38,33,38,27,15,11,17,22,18,10,22,23,21,10,11,16,5,10,14,23,17,24,21,44,12,46,7,43,9,33,34,36,51,36,43,40,43,39,37,52,47,34,44,27,15,26,12,15,9,9,7,7,6,8,11,6,7,7,12,14
48,22,39,73,42,32,49,58,26,38,54,28,50,37,54,56,13,9,7,30,21,10,3,18,15,25,10,8,11,6,24,7,16,23,18,14,25,4,51,4,26,17,21,32,33,45,28,32,60,55,45,19,45,36,31,46,36,8,17,3,7,4,5,4,3,4,6,6,6,9,5,8,8
23,39,57,42,73,15,46,44,37,17,40,14,42,34,35,41,18,19,12,14,24,20,8,21,17,21,13,14,19,6,10,10,17,20,17,16,39,15,47,9,39,10,31,26,37,50,32,43,44,45,39,34,49,42,32,41,25,19,24,15,19,9,11,9,9,8,10,12,9,5,5,8,15
53,10,17,32,15,73,18,27,10,57,26,64,28,25,33,29,14,18,8,62,12,12,18,28,32,14,11,10,22,19,43,31,25,14,26,21,14,11,24,12,9,30,21,34,19,13,12,15,26,20,24,14,19,14,21,20,24,13,15,11,13,22,13,13,15,12,18,11,18,26,17,16,18
33,41,44,49,46,18,73,56,39,23,48,15,59,49,43,51,9,10,8,17,23,10,3,24,17,27,10,10,8,4,11,11,17,24,22,21,39,6,62,2,41,10,27,38,45,58,40,46,57,58,54,30,60,49,41,55,41,9,14,5,5,4,4,2,2,2,6,5,5,5,4,10,9
41,28,41,58,44,27,56,73,28,32,61,25,51,38,56,66,10,9,6,26,19,10,3,20,14,24,9,5,8,5,22,9,12,21,17,17,30,5,58,1,30,14,21,34,45,44,31,40,61,58,52,19,48,36,37,51,36,7,12,4,6,6,0,1,1,2,5,4,6,9,4,7,11
15,60,42,26,37,10,39,28,73,11,27,12,35,38,20,26,23,4,8,13,26,6,4,29,29,25,9,9,4,5,6,25,42,19,44,21,64,3,40,2,70,5,48,39,32,50,59,47,33,39,42,47,48,57,46,47,34,15,27,3,13,3,3,0,3,3,8,6,3,8,7,20,13
58,10,23,38,17,57,23,32,11,73,33,58,29,27,40,36,19,19,10,56,8,9,16,28,26,11,11,8,21,15,46,31,23,12,24,19,13,10,29,10,10,34,17,35,24,15,10,21,30,27,25,13,22,13,20,24,21,12,17,8,11,17,11,11,12,11,14,11,15,23,16,17,16
