strength	module_id	clustering	betweeness	loc_efficiency
0.326580473	2	0.464866736	260	0.389790237
0.217841576	4	0.631818182	118	0.403987718
0.231692741	4	0.573724668	148	0.38102762
0.240485161	1	0.561507937	118	0.384985206
0.295227368	3	0.47895189	266	0.391382055
0.200535271	4	0.68115942	62	0.42667882
0.219675052	4	0.691553544	80	0.419745993
0.185159514	1	0.584126984	30	0.378483385
0.206174713	1	0.552657005	64	0.392138444
0.218147099	1	0.464634146	282	0.34881113
0.223459473	3	0.552721088	58	0.408675694
0.225361877	3	0.477503628	130	0.369449461
0.145848583	5	0.485714286	60	0.352661783
0.192094183	1	0.596135266	96	0.370625237
0.276345999	3	0.555365687	88	0.407440467
0.244195377	1	0.533248082	94	0.39693623
0.282716755	4	0.53815261	130	0.407029622
0.262242797	1	0.508227848	170	0.378072368
0.247592801	4	0.58699101	80	0.40282001
0.292830609	1	0.494132335	326	0.393800242
0.2788842	5	0.518037975	232	0.394868177
0.19408644	1	0.602564103	146	0.358013863
0.210695611	1	0.586585366	64	0.366522436
0.285223145	3	0.444841675	348	0.377005879
0.295630765	2	0.517086835	206	0.397746703
0.208769513	3	0.531707317	78	0.375685569
0.217343416	1	0.49156746	364	0.361718305
0.244959247	3	0.461072261	234	0.367452344
0.163384281	1	0.671957672	62	0.398038906
0.262085184	3	0.47826087	336	0.370069664
0.20052878	3	0.603948897	82	0.404473447
0.234115878	3	0.660606061	22	0.416692941
0.26056181	4	0.590366581	176	0.405781352
0.336202426	5	0.414542729	738	0.379947093
0.283366716	3	0.471003135	366	0.36488575
0.191197259	5	0.55	110	0.38715659
0.229250329	1	0.548620534	104	0.392344236
0.06497722	1	0.533333333	8	0.355055143
0.192607368	1	0.596938776	28	0.401282899
0.201513968	4	0.476410731	140	0.365422168
0.214408956	2	0.620875421	68	0.412663728
0.176198169	5	0.571794872	82	0.400337746
0.167530938	3	0.579365079	128	0.392952349
0.277990998	2	0.511761331	132	0.376846598
0.223063251	4	0.621942697	32	0.400931523
0.199087237	1	0.629047179	52	0.383397984
0.23032164	5	0.474352195	282	0.372101846
0.195585179	5	0.558704453	76	0.398337689
0.222369841	2	0.595804196	126	0.387628766
0.220205957	2	0.52281746	176	0.375289357
0.315693072	2	0.469053077	338	0.384122257
0.292766955	1	0.522588523	154	0.403714221
0.228412468	2	0.561202186	136	0.397404433
0.19419087	5	0.509246088	98	0.393737831
0.265368508	5	0.547564688	112	0.408313906
0.218169302	2	0.594071385	92	0.397802532
0.260457335	5	0.480519481	622	0.349643571
0.208136035	5	0.657724329	52	0.409972889
0.167062679	5	0.65270936	98	0.376433919
0.200660211	3	0.642958748	12	0.419477091
0.249496803	3	0.533242877	116	0.388451487
0.275869436	1	0.526645768	206	0.401976357
0.099321868	4	0.648351648	6	0.437533007
0.198299249	1	0.577067669	42	0.397785109
0.289864942	5	0.475757576	348	0.379888686
0.272886463	2	0.510759494	218	0.380249264
0.250576342	2	0.567351598	168	0.392873269
0.265010278	4	0.515087719	266	0.389258131
0.108637952	4	0.568627451	36	0.388561153
0.202515947	5	0.731182796	32	0.435187181
0.265934544	5	0.505769231	190	0.398588378
0.237065074	2	0.531730769	162	0.378965034
